pdbid;chain;genus deposition date;pdb deposition date;total genus;sequence length
6lhf;C;2021-01-29;2019-12-08;0;8
6lyq;O;2021-01-29;2020-02-15;0;13
7kl1;C;2021-01-29;2020-10-28;0;15
6zu9;O;2021-01-29;2020-07-22;0;73
7kl0;C;2021-01-29;2020-10-28;0;12
6xbp;C;2021-01-29;2020-06-07;0;14
7d3d;a;2021-01-29;2020-09-18;0;12
7jr9;G;2021-01-29;2020-08-11;0;6
6xwd;P;2021-01-29;2020-01-23;0;8
7jxn;A;2021-01-29;2020-08-27;0;21
7a5i;A5;2021-01-29;2020-08-21;0;28
6xic;I;2021-01-29;2020-06-19;0;8
7jqb;g;2021-01-28;2020-08-10;0;68
7jxo;A;2021-01-28;2020-08-27;0;21
7d6f;B;2021-01-28;2020-09-30;0;9
7kl4;B;2021-01-28;2020-10-28;0;12
6xxs;C;2021-01-28;2020-01-28;0;17
6zbu;C;2021-01-28;2020-06-09;0;15
6xib;I;2021-01-28;2020-06-19;0;10
7ald;A;2021-01-28;2020-10-06;0;20
7a5h;m;2021-01-28;2020-08-21;0;45
7ji2;C;2021-01-28;2020-07-22;0;8
7djq;C;2021-01-28;2020-11-20;0;5
7cna;C;2021-01-28;2020-07-30;0;11
7cce;P;2021-01-28;2020-06-17;0;12
7cna;F;2021-01-28;2020-07-30;0;11
6yw2;B;2021-01-28;2020-04-29;0;12
6yw1;B;2021-01-28;2020-04-29;0;12
6xoe;B;2021-01-28;2020-07-06;0;16
6xth;A;2021-01-28;2020-01-16;0;18
6l9m;C;2021-01-28;2019-11-10;0;9
7ad3;I;2021-01-28;2020-09-14;0;13
7js6;A;2021-01-28;2020-08-13;0;15
6uzs;C;2021-01-28;2019-11-15;0;9
7k1m;A;2021-01-28;2020-09-08;0;12
7l7a;A;2021-01-28;2020-12-28;0;14
6ufa;A;2021-01-28;2019-09-24;0;22
6lhh;C;2021-01-28;2019-12-08;0;8
6ls6;C;2021-01-28;2020-01-17;0;8
6ug3;A;2021-01-28;2019-09-25;0;12
6ug2;A;2021-01-28;2019-09-25;0;9
6t52;I;2021-01-28;2019-10-15;0;11
6uzq;C;2021-01-28;2019-11-15;0;9
6te4;C;2021-01-28;2019-11-11;0;6
6tub;A;2021-01-28;2020-01-05;0;31
6v7k;X;2021-01-28;2019-12-08;0;14
6wjq;C;2021-01-28;2020-04-14;0;10
6vb5;C;2021-01-28;2019-12-18;0;9
6vb4;C;2021-01-28;2019-12-18;0;9
6l8r;A;2021-01-28;2019-11-07;0;33
6l9n;C;2021-01-28;2019-11-10;0;9
6x23;B;2021-01-28;2020-05-19;0;7
6xbx;C;2021-01-28;2020-06-07;0;14
6vb6;C;2021-01-28;2019-12-18;0;9
6toq;CCC;2021-01-28;2019-12-11;0;7
6uzp;C;2021-01-28;2019-11-15;0;9
6vc1;A;2021-01-28;2019-12-20;0;7
6vm8;C;2021-01-28;2020-01-27;0;9
6yw3;B;2021-01-28;2020-04-29;0;12
6yw4;B;2021-01-28;2020-04-29;0;12
6xyx;C;2021-01-28;2020-01-31;0;16
6uzn;C;2021-01-28;2019-11-15;0;9
6viu;C;2021-01-28;2020-01-14;0;9
6wu9;Y;2021-01-28;2020-05-04;0;54
6ugc;A;2021-01-28;2019-09-26;0;9
6vb3;C;2021-01-28;2019-12-18;0;9
6vb0;C;2021-01-28;2019-12-18;0;9
6t54;I;2021-01-28;2019-10-15;0;10
6t56;I;2021-01-28;2019-10-15;0;10
6wme;B;2021-01-28;2020-04-21;0;16
6t3m;I;2021-01-28;2019-10-11;0;10
6t53;I;2021-01-28;2019-10-15;0;11
6tmj;Q;2021-01-28;2019-12-04;0;12
6ug6;A;2021-01-28;2019-09-25;0;12
6vb7;C;2021-01-28;2019-12-18;0;9
6tqr;E;2021-01-28;2019-12-17;0;10
6t5f;E;2021-01-28;2019-10-16;0;10
6t55;I;2021-01-28;2019-10-15;0;11
6xzz;B;2021-01-28;2020-02-05;0;8
6y1d;B;2021-01-28;2020-02-12;0;8
6xid;I;2021-01-28;2020-06-19;0;10
6pu1;B;2021-01-28;2019-07-16;0;12
6tl0;B;2021-01-28;2019-11-29;0;61
6uzo;C;2021-01-28;2019-11-15;0;9
6uzm;C;2021-01-28;2019-11-15;0;9
6ws0;ZZZ;2021-01-28;2020-04-30;0;20
6soj;C;2021-01-28;2019-08-29;0;59
6uf9;A;2021-01-28;2019-09-24;0;10
7kgp;C;2021-01-28;2020-10-18;0;9
6xtr;C;2021-01-28;2020-01-16;0;16
6xto;C;2021-01-28;2020-01-16;0;14
6vma;C;2021-01-28;2020-01-27;0;9
6zyx;e;2021-01-28;2020-08-03;0;49
6tvj;A;2021-01-28;2020-01-09;0;10
7cpo;C;2021-01-28;2020-08-07;0;9
7kgq;C;2021-01-28;2020-10-18;0;9
6t36;B;2021-01-28;2019-10-10;0;8
6vmc;C;2021-01-28;2020-01-27;0;9
6y1q;A;2021-01-28;2020-02-13;0;14
7kgs;C;2021-01-28;2020-10-18;0;9
6z8x;L;2021-01-28;2020-06-02;0;26
6vm7;C;2021-01-28;2020-01-27;0;9
6xtn;C;2021-01-28;2020-01-16;0;16
7bu9;B;2020-10-15;2020-04-05;0;8
7jya;D;2020-10-15;2020-08-30;0;10
7bqz;B;2020-10-15;2020-03-26;0;13
6wgn;E;2020-10-15;2020-04-06;0;15
6y40;P;2020-10-15;2020-02-19;0;5
6ync;B;2020-10-15;2020-04-13;0;14
6w6p;Y;2020-10-15;2020-03-17;0;54
6yna;B;2020-10-15;2020-04-13;0;13
6szf;A;2020-10-15;2019-10-02;0;42
6yqj;B;2020-10-15;2020-04-17;0;13
7ji0;C;2020-10-08;2020-07-21;0;8
6y9p;C;2020-10-08;2020-03-10;0;8
6xfm;1;2020-10-08;2020-06-15;0;39
6y9n;B;2020-10-08;2020-03-10;0;13
6zk9;q;2020-10-08;2020-06-30;0;31
6y38;C;2020-10-08;2020-02-17;0;13
7jv1;D;2020-10-01;2020-08-20;0;33
6zrq;A;2020-10-01;2020-07-14;0;22
7jux;A;2020-10-01;2020-08-20;0;33
6kzg;C;2020-10-01;2019-09-24;0;8
6udw;A;2020-09-24;2019-09-19;0;5
6udr;A;2020-09-24;2019-09-19;0;4
6kyu;C;2020-09-24;2019-09-20;0;9
6l1f;A;2020-09-24;2019-09-29;0;6
6ucx;A;2020-09-24;2019-09-18;0;8
6o8w;2;2020-09-24;2019-03-12;0;56
6o8y;6;2020-09-24;2019-03-12;0;38
6ypy;P;2020-09-24;2020-04-16;0;9
6ud9;A;2020-09-24;2019-09-19;0;8
6kz1;B;2020-09-24;2019-09-22;0;12
6o90;Y;2020-09-24;2019-03-12;0;54
6x00;C;2020-09-21;2020-05-14;0;11
6uai;B;2020-09-21;2019-09-10;0;4
6wzy;C;2020-09-21;2020-05-14;0;10
6z9l;F;2020-09-21;2020-06-04;0;9
6uao;B;2020-09-21;2019-09-11;0;6
6vil;I;2020-09-21;2020-01-13;0;12
6lqr;X1;2020-09-21;2020-01-14;0;47
6t7v;I;2020-09-13;2019-10-23;0;9
6wbv;B;2020-09-13;2020-03-27;0;25
6kwn;C;2020-09-13;2019-09-07;0;9
6kwo;C;2020-09-13;2019-09-07;0;9
6t7z;B;2020-09-13;2019-10-23;0;4
6kva;B;2020-09-13;2019-09-03;0;6
7c1m;B;2020-09-13;2020-05-05;0;10
7jrh;A;2020-09-13;2020-08-12;0;16
7ju9;A;2020-09-13;2020-08-19;0;20
6xdr;Z;2020-09-13;2020-06-11;0;30
6xgf;Z;2020-09-13;2020-06-17;0;30
6xii;Z;2020-09-13;2020-06-20;0;30
6xij;Z;2020-09-13;2020-06-20;0;30
6xdq;Z;2020-09-13;2020-06-11;0;30
7jqm;1z;2020-09-08;2020-08-11;0;16
7jql;1z;2020-09-08;2020-08-11;0;16
7jiy;A;2020-09-08;2020-07-23;0;24
6wau;G;2020-09-08;2020-03-26;0;9
6wav;E;2020-09-08;2020-03-26;0;12
6v0o;D;2020-09-08;2019-11-19;0;10
6v0n;C;2020-09-08;2019-11-19;0;10
7c9z;D;2020-08-20;2020-06-08;0;68
6ysu;v;2020-08-20;2020-04-23;0;14
6u4a;C;2020-08-20;2019-08-24;0;11
6u61;D;2020-08-20;2019-08-28;0;11
6u6l;B;2020-08-20;2019-08-30;0;14
6u74;E;2020-08-20;2019-08-31;0;14
6u8g;E;2020-08-20;2019-09-05;0;14
6u8m;C;2020-08-20;2019-09-05;0;17
6u6k;C;2020-08-20;2019-08-30;0;11
6u72;C;2020-08-20;2019-08-31;0;14
6w17;M;2020-08-20;2020-03-03;0;6
6uls;B;2020-08-20;2019-10-08;0;10
6u71;B;2020-08-20;2019-08-31;0;11
6syf;F;2020-08-20;2019-09-27;0;4
6z1p;AG;2020-08-05;2020-05-14;0;38
6l4z;C;2020-08-04;2019-10-21;0;37
6l4z;A;2020-08-04;2019-10-21;0;38
6l50;A;2020-08-04;2019-10-21;0;38
6l4z;G;2020-08-04;2019-10-21;0;40
6kk3;A;2020-08-04;2019-07-23;0;38
6kk4;A;2020-08-04;2019-07-23;0;39
6kk2;A;2020-08-04;2019-07-23;0;38
6kk6;A;2020-08-04;2019-07-23;0;38
6kpq;A;2020-08-04;2019-08-15;0;38
6kk5;A;2020-08-04;2019-07-23;0;38
6k3f;U;2020-08-04;2019-05-18;0;13
7c4j;G;2020-08-04;2020-05-18;0;82
7bzn;D;2020-08-04;2020-04-28;0;44
7bte;L;2020-08-03;2020-04-01;0;14
6z1h;C;2020-08-02;2020-05-13;0;18
6z1h;D;2020-08-02;2020-05-13;0;13
6y3b;A;2020-08-02;2020-02-18;0;38
6wk1;Y;2020-08-01;2020-04-15;0;19
6wk2;C;2020-08-01;2020-04-15;0;19
6wly;B;2020-08-01;2020-04-20;0;9
6way;V;2020-08-01;2020-03-26;0;8
6vr5;P;2020-08-01;2020-02-06;0;9
6vqo;P;2020-08-01;2020-02-05;0;9
6vu4;A;2020-08-01;2020-02-14;0;17
6vr1;P;2020-08-01;2020-02-06;0;9
6vhj;A;2020-08-01;2020-01-09;0;16
6vjq;A;2020-08-01;2020-01-16;0;28
6vln;P;2020-08-01;2020-01-24;0;10
6vlj;A;2020-08-01;2020-01-24;0;19
6v2o;C;2020-08-01;2019-11-25;0;10
6v2q;C;2020-08-01;2019-11-25;0;9
6v3j;C;2020-08-01;2019-11-25;0;9
6v2p;C;2020-08-01;2019-11-25;0;10
6ule;I;2020-07-31;2019-10-07;0;17
6ulf;P;2020-07-31;2019-10-07;0;11
6ulk;C;2020-07-31;2019-10-08;0;10
6trn;C;2020-07-31;2019-12-19;0;10
6tro;C;2020-07-31;2019-12-19;0;10
6ti5;A;2020-07-31;2019-11-21;0;30
6tgx;C;2020-07-31;2019-11-18;0;4
6tdt;I;2020-07-31;2019-11-10;0;11
6ti7;A;2020-07-31;2019-11-21;0;30
6smq;C;2020-07-31;2019-08-22;0;13
6t9m;BBB;2020-07-31;2019-10-28;0;5
6sml;C;2020-07-31;2019-08-22;0;12
6t3q;I;2020-07-31;2019-10-11;0;10
6sm3;C;2020-07-31;2019-08-21;0;13
6t4a;I;2020-07-31;2019-10-13;0;10
6slw;P;2020-07-31;2019-08-20;0;10
6sln;P;2020-07-31;2019-08-20;0;13
6sip;P;2020-07-31;2019-08-10;0;12
6siq;P;2020-07-31;2019-08-10;0;10
6sin;P;2020-07-31;2019-08-10;0;12
6sio;P;2020-07-31;2019-08-10;0;12
6slx;P;2020-07-31;2019-08-20;0;10
6s3c;P;2020-07-31;2019-06-25;0;10
6s39;P;2020-07-31;2019-06-24;0;12
6s40;P;2020-07-31;2019-06-26;0;12
6rwi;P;2020-07-31;2019-06-05;0;12
6rwu;P;2020-07-31;2019-06-06;0;12
6rwh;P;2020-07-31;2019-06-05;0;12
6rws;P;2020-07-31;2019-06-06;0;12
6ru8;E;2020-07-31;2019-05-27;0;9
6ru6;C;2020-07-31;2019-05-27;0;8
6rd2;C;2020-07-31;2019-04-12;0;4
6rki;P;2020-07-31;2019-04-30;0;12
6rkm;P;2020-07-31;2019-04-30;0;12
6rjl;P;2020-07-31;2019-04-27;0;10
6qzc;CCC;2020-07-31;2019-03-11;0;16
6qzd;CCC;2020-07-31;2019-03-11;0;14
6rjz;P;2020-07-31;2019-04-29;0;12
6r0e;CCC;2020-07-31;2019-03-12;0;13
6pzv;D;2020-07-31;2019-08-01;0;18
6r16;G;2020-07-31;2019-03-13;0;26
6rm7;P;2020-07-31;2019-05-05;0;12
6qtc;B;2020-07-31;2019-02-24;0;16
6r5l;P;2020-07-31;2019-03-25;0;10
6rhc;P;2020-07-31;2019-04-19;0;13
6rkk;P;2020-07-31;2019-04-30;0;10
6rl3;P;2020-07-31;2019-05-01;0;12
6rl6;P;2020-07-31;2019-05-01;0;12
6rl4;P;2020-07-31;2019-05-01;0;12
6qiu;P;2020-07-31;2019-01-21;0;10
6pef;C;2020-07-31;2019-06-20;0;8
6plh;C;2020-07-31;2019-06-30;0;8
6ovf;C;2020-07-31;2019-05-07;0;11
6p7h;C;2020-07-31;2019-06-05;0;8
6o24;I;2020-07-31;2019-02-22;0;11
6o8r;X;2020-07-31;2019-03-11;0;25
6o28;E;2020-07-31;2019-02-22;0;10
6o2a;F;2020-07-31;2019-02-22;0;9
6o25;D;2020-07-31;2019-02-22;0;11
